iter	Passed	Remaining
0	130	130556
1	131	65861
2	133	44268
3	134	33453
4	135	26950
5	136	22628
6	137	19552
7	139	17237
8	140	15441
9	141	14003
10	142	12832
11	143	11837
12	144	10994
13	145	10273
14	146	9646
15	147	9096
16	149	8638
17	150	8213
18	151	7843
19	153	7506
20	154	7190
21	155	6908
22	156	6656
23	157	6417
24	158	6194
25	159	5989
26	160	5797
27	161	5622
28	163	5457
29	163	5302
30	165	5158
31	166	5021
32	167	4894
33	168	4775
34	168	4658
35	169	4550
36	171	4457
37	172	4362
38	173	4273
39	174	4186
40	175	4103
41	176	4026
42	177	3953
43	178	3888
44	180	3820
45	181	3758
46	182	3697
47	183	3637
48	184	3578
49	185	3525
50	186	3473
51	187	3423
52	189	3377
53	190	3331
54	191	3288
55	192	3243
56	193	3200
57	194	3158
58	195	3117
59	196	3076
60	197	3037
61	198	3000
62	199	2967
63	200	2931
64	201	2897
65	202	2864
66	203	2832
67	204	2800
68	205	2769
69	206	2741
70	207	2711
71	208	2683
72	209	2656
73	210	2630
74	211	2604
75	212	2579
76	213	2554
77	214	2529
78	214	2506
79	215	2483
80	216	2460
81	217	2438
82	218	2412
83	219	2392
84	220	2371
85	221	2352
86	222	2333
87	223	2315
88	224	2296
89	225	2278
90	226	2260
91	227	2242
92	228	2225
93	229	2208
94	230	2191
95	230	2174
96	231	2158
97	232	2142
98	233	2126
99	234	2110
100	235	2094
101	236	2081
102	237	2066
103	238	2052
104	239	2038
105	240	2024
106	240	2010
107	241	1998
108	242	1985
109	243	1973
110	244	1960
111	245	1947
112	246	1935
113	247	1922
114	248	1910
115	249	1899
116	249	1886
117	250	1874
118	251	1863
119	252	1852
120	253	1841
121	254	1829
122	255	1818
123	256	1808
124	257	1799
125	257	1789
126	258	1778
127	259	1767
128	260	1758
129	261	1748
130	262	1739
131	263	1730
132	263	1720
133	264	1711
134	265	1702
135	266	1693
136	267	1685
137	268	1676
138	269	1667
139	270	1659
140	271	1652
141	271	1643
142	272	1635
143	273	1627
144	274	1619
145	275	1611
146	276	1604
147	277	1596
148	278	1588
149	279	1581
150	279	1574
151	280	1567
152	281	1559
153	282	1552
154	283	1545
155	284	1539
156	285	1533
157	286	1527
158	287	1521
159	288	1515
160	289	1508
161	290	1502
162	291	1495
163	292	1489
164	293	1483
165	294	1477
166	295	1471
167	296	1466
168	297	1460
169	298	1455
170	299	1450
171	299	1444
172	300	1438
173	301	1432
174	302	1427
175	303	1421
176	304	1415
177	305	1410
178	306	1405
179	307	1399
180	308	1394
181	309	1388
182	309	1383
183	310	1378
184	311	1373
185	312	1368
186	313	1363
187	314	1358
188	315	1353
189	316	1348
190	317	1343
191	318	1338
192	318	1333
193	319	1329
194	320	1324
195	321	1319
196	322	1314
197	323	1309
198	324	1305
199	325	1300
200	326	1296
201	327	1292
202	328	1288
203	329	1284
204	330	1281
205	331	1277
206	332	1272
207	333	1268
208	334	1264
209	335	1260
210	335	1256
211	336	1251
212	337	1247
213	338	1243
214	339	1239
215	340	1236
216	341	1232
217	342	1228
218	343	1224
219	344	1220
220	345	1216
221	346	1212
222	347	1209
223	347	1205
224	348	1201
225	349	1198
226	350	1194
227	351	1190
228	352	1187
229	353	1183
230	354	1180
231	355	1177
232	357	1175
233	358	1172
234	358	1168
235	360	1165
236	360	1162
237	362	1159
238	362	1155
239	363	1152
240	364	1149
241	365	1145
242	366	1142
243	367	1138
244	368	1135
245	369	1132
246	370	1128
247	371	1125
248	372	1122
249	372	1118
250	373	1115
251	374	1112
252	375	1108
253	376	1105
254	377	1102
255	378	1099
256	379	1096
257	380	1092
258	380	1089
259	381	1086
260	382	1083
261	383	1080
262	384	1077
263	385	1074
264	386	1071
265	387	1068
266	388	1065
267	389	1062
268	389	1059
269	390	1056
270	391	1054
271	392	1050
272	393	1048
273	394	1045
274	395	1041
275	396	1039
276	397	1036
